date,total_volume,avg_trade_size,trade_count,total_pnl,avg_pnl,pnl_volatility,avg_price,price_volatility,profit_ratio,unique_traders,value,classification,datetime,volume_per_trader,pnl_per_trade,risk_adjusted_return
2024-01-20,1070090.51,10095.193490566038,106,-146.57487000000003,-1.3827817924528305,38.554282761934644,14671.724672933962,19093.656628018955,0.14150943396226415,1,52,Neutral,2024-01-20 05:30:00,1070090.51,-1.3827817924528305,-0.03586584144208426
2024-01-21,103129.74,9375.43090909091,11,266.58114600000005,24.234649636363642,65.56080670770307,19141.940333454546,21528.165725689374,0.2727272727272727,1,56,Greed,2024-01-21 05:30:00,103129.74,24.234649636363642,0.36965148620595284
2024-01-22,337878.99,3975.0469411764707,85,1375.640959,16.18401128235294,80.41613478472654,6179.383261176471,14406.919993731388,0.27058823529411763,2,55,Greed,2024-01-22 05:30:00,168939.495,16.18401128235294,0.20125328487470123
2024-01-23,414518.93000000005,9211.531777777778,45,-369.2447299999998,-8.20543844444444,613.9643726523253,11768.913676111111,17931.69660879304,0.24444444444444444,1,50,Neutral,2024-01-23 05:30:00,414518.93000000005,-8.20543844444444,-0.013364681746917913
2024-01-24,965084.59,14192.42044117647,68,-2808.353815,-41.29932080882353,149.8053621490879,16861.48394732353,18769.695095348565,0.14705882352941177,1,48,Neutral,2024-01-24 05:30:00,965084.59,-41.29932080882353,-0.2756865322866214
2024-01-25,66566.13,11094.355000000001,6,-3093.6293849999997,-515.6048975,356.6379016697523,87.95416666666667,0.007222649560014814,0.0,1,52,Neutral,2024-01-25 05:30:00,66566.13,-515.6048975,-1.445737806009894
2024-01-26,11773.21,2354.642,5,90.2,18.04,40.33866631409621,0.1198688,0.10182152735644856,0.2,2,49,Neutral,2024-01-26 05:30:00,5886.605,18.04,0.44721359549995787
2024-01-28,18109.03,1646.2754545454545,11,-2478.06972,-225.27906545454545,262.6842407250483,16.956,0.0,0.0,1,54,Neutral,2024-01-28 05:30:00,18109.03,-225.27906545454545,-0.8576040375804087
2024-01-29,414208.18,5597.407837837838,74,486.562542,6.5751694864864865,28.607026832226527,15636.855511594595,19536.971778150943,0.6081081081081081,2,55,Greed,2024-01-29 05:30:00,207104.09,6.5751694864864865,0.22984455969675935
2024-01-30,401011.38,8183.905714285715,49,-173.65419100000003,-3.5439630816326537,55.423048103905174,27371.991836734695,20153.91087002757,0.10204081632653061,1,61,Greed,2024-01-30 05:30:00,401011.38,-3.5439630816326537,-0.06394385012871462
2024-01-31,6305647.13,7340.683504074505,859,-799.840817,-0.93113017112922,21.84950915114784,28200.90456028405,19876.3146514713,0.2689173457508731,1,60,Greed,2024-01-31 05:30:00,6305647.13,-0.93113017112922,-0.04261561047838478
