date,value,signal,strategy_return,cumulative_return
2024-08-28,30,HOLD,0.0,-148825.08066299994
2024-08-29,29,HOLD,0.0,-148825.08066299994
2024-08-30,34,HOLD,0.0,-148825.08066299994
2024-08-31,29,HOLD,0.0,-148825.08066299994
2024-09-01,26,HOLD,0.0,-148825.08066299994
2024-09-02,26,HOLD,0.0,-148825.08066299994
2024-09-04,27,HOLD,0.0,-148825.08066299994
2024-09-05,29,HOLD,0.0,-148825.08066299994
2024-09-06,22,BUY,0.0,-148825.08066299994
2024-09-08,29,HOLD,0.0,-148825.08066299994
2024-09-09,26,HOLD,0.0,-148825.08066299994
2024-09-10,33,HOLD,0.0,-148825.08066299994
2024-09-11,37,HOLD,0.0,-148825.08066299994
2024-09-14,50,HOLD,0.0,-148825.08066299994
2024-09-18,45,HOLD,0.0,-148825.08066299994
2024-09-19,49,HOLD,0.0,-148825.08066299994
2024-09-20,54,HOLD,0.0,-148825.08066299994
2024-09-21,54,HOLD,0.0,-148825.08066299994
2024-09-22,52,HOLD,0.0,-148825.08066299994
2024-09-23,50,HOLD,0.0,-148825.08066299994
2024-09-24,54,HOLD,0.0,-148825.08066299994
2024-09-25,59,HOLD,0.0,-148825.08066299994
2024-09-26,50,HOLD,0.0,-148825.08066299994
2024-09-27,61,HOLD,0.0,-148825.08066299994
2024-09-28,64,HOLD,0.0,-148825.08066299994
2024-09-30,61,HOLD,0.0,-148825.08066299994
2024-10-01,50,HOLD,0.0,-148825.08066299994
2024-10-02,42,HOLD,0.0,-148825.08066299994
2024-10-03,37,HOLD,0.0,-148825.08066299994
2024-10-04,41,HOLD,0.0,-148825.08066299994
2024-10-05,49,HOLD,0.0,-148825.08066299994
2024-10-06,50,HOLD,0.0,-148825.08066299994
2024-10-07,50,HOLD,0.0,-148825.08066299994
2024-10-08,49,HOLD,0.0,-148825.08066299994
2024-10-09,49,HOLD,0.0,-148825.08066299994
2024-10-10,39,HOLD,0.0,-148825.08066299994
2024-10-11,32,HOLD,0.0,-148825.08066299994
2024-10-12,49,HOLD,0.0,-148825.08066299994
2024-10-13,50,HOLD,0.0,-148825.08066299994
2024-10-14,48,HOLD,0.0,-148825.08066299994
2024-10-15,65,HOLD,0.0,-148825.08066299994
2024-10-16,73,HOLD,0.0,-148825.08066299994
2024-10-17,71,HOLD,0.0,-148825.08066299994
2024-10-18,73,HOLD,0.0,-148825.08066299994
2024-10-19,72,HOLD,0.0,-148825.08066299994
2024-10-20,73,HOLD,0.0,-148825.08066299994
2024-10-21,72,HOLD,0.0,-148825.08066299994
2024-10-22,70,HOLD,0.0,-148825.08066299994
2024-10-23,71,HOLD,0.0,-148825.08066299994
